cause,effect,cause_topic,effect_topic,paper_name,source_id,conf_topic,path_to_cause,path_to_effect,to_cause_sources,to_effect_sources,to_cause_len,to_effect_len,conf_papers,within_same_paper
"a reduced 5-year standard deviation of log earnings of about 0.01, about 10% of the mean standard deviation",a decreased probability of receiving a pay cut of about 3.5 percentage points,topic_1650,topic_6368,"More Education, Less Volatility? The Effect of Education on Earnings Volatility over the Life Cycle",3024,topic_507,"
an additional year of education --> lower earnings variability (a reduced 5-year standard deviation of log earnings of about 0.01, about 10% of the mean standard deviation)","
an additional year of education --> a decreased probability of receiving a pay cut of about 3.5 percentage points, and to a lower level of earnings cyclicality",[3019],[3019],1,1,"['More Education, Less Volatility? The Effect of Education on Earnings Volatility over the Life Cycle']",TRUE
these modest—although statistically significant—reductions,diminished need for medical services due to health benefits associated with higher incomes and/or greater health care access,topic_5523,topic_5922,The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?,71870,topic_467,"
EITC expansions --> modest positive effects of EITC expansions on investment time","
EITC expansions --> time devoted to health care activities declines",[71746],[71872],1,1,['The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?'],TRUE
these modest—although statistically significant—reductions,diminished need for medical services,topic_5523,topic_5922,The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?,71871,topic_467,"
EITC expansions --> modest positive effects of EITC expansions on investment time","
EITC expansions --> time devoted to health care activities declines",[71746],[71872],1,1,['The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?'],TRUE
some specifications do suggest a small positive effect,"raising the question of whether the impact of pay for performance, if small, would be worth the expense",topic_5523,topic_4624,Do Educator Performance Incentives Help Students? Evidence from the Teacher Incentive Fund National Evaluation,33433,topic_3157,"
the cost of providing pay-for-performance bonuses, given its impacts --> a small positive effect","
the cost of providing pay-for-performance bonuses, given its impacts --> the impact of pay for performance, if small, would be worth the expense",[33435],[33434],1,1,['Do Educator Performance Incentives Help Students? Evidence from the Teacher Incentive Fund National Evaluation'],TRUE
an increase of about 33% compared with the mean dropout rate—and exceeds substantially the magnitude on outcomes such as test scores and attendance,The magnitude of the effect on dropout is economically very significant—with an increase of about 33% compared with the mean dropout rate—and exceeds substantially the magnitude on student dropout,topic_4944,topic_5239,Violence and Human Capital Investments,51495,topic_5023,"
An additional homicide --> an increase in the probability of a student dropping out of school of 3%, an increase of about 20% compared with the baseline","
homicides --> increase dropout rates",[51054],[51050],1,1,['Violence and Human Capital Investments'],TRUE
education financing decisions are made before actual college enrollment,"the decision to accept a financial aid package depends not only on the perceived magnitude of borrowing constraints but also on the subjective probability of enrolling in higher education as well as beliefs over other future outcomes, such as the probability of dropping out from college",topic_6724,topic_658,Estimating the Value of Higher Education Financial Aid: Evidence from a Field Experiment,45363,topic_313,"
local labor market shocks occur --> colleges should prepare for students to enter different programs","
local labor market shocks --> education choices
the availability of multiple choices per student --> the importance of risk aversion and discount factors, which (thanks to the availability of multiple choices per student) are allowed to be individual specific, in higher education financing decisions",[52155],"[51932, 45367]",1,2,"['Community College Program Choices in the Wake of Local Job Losses', 'Estimating the Value of Higher Education Financial Aid: Evidence from a Field Experiment']",FALSE
choosing among 15–20 highly selective colleges may be a daunting task,students to rely on heuristics to narrow their choice set,topic_6724,topic_912,Changing College Choices with Personalized Admissions Information at Scale: Evidence on Naviance,42594,topic_313,"
local labor market shocks occur --> colleges should prepare for students to enter different programs","
local labor market shocks --> education choices",[52155],[51932],1,1,['Community College Program Choices in the Wake of Local Job Losses'],FALSE
health benefits associated with the EITC may have negligible average effects on investment activities with children,it may adversely impact children most in need of additional active learning time with their mothers,topic_3693,topic_1338,The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?,71874,topic_4791,"
their alternative approach to child-rearing --> does not come at the cost of child outcomes","
more child-centered parents to enroll their children in childcare later --> being enrolled early could be a marker for a poor home environment, which would suggest that these children should perform worse",[75909],[4730],1,1,"['Early Childcare and Cognitive Development: Evidence from an Assignment Lottery', 'What Causes the Child Penalty? Evidence from Adopting and Same-Sex Couples']",FALSE
they have negligible effects on investment time with children,effects on married mothers are modest and statistically insignificant,topic_3693,topic_6536,The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?,71790,topic_467,"
EITC expansions --> have negligible effects on investment time with children","
EITC expansions --> effect on married mothers are modest and statistically insignificant",[71788],[71791],1,1,['The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?'],TRUE
increasing coding error in monthly measures of occupational mobility,generating a spurious rise in monthly occupational mobility since 2007,topic_5234,topic_793,Reconciling Occupational Mobility in the Current Population Survey,74165,topic_4942,"
rising rates of nonresponse to critical questions in the monthly CPS --> increasing coding error in monthly measures of occupational mobility","
increasing rates of nonresponse to critical questions in the monthly CPS --> a spurious rise in monthly occupational mobility since 2007",[74165],[74167],1,1,['Reconciling Occupational Mobility in the Current Population Survey'],TRUE
